Question Title,Question Ref. ID,Question Text,Calculated Average,Calculated Std.,Option 0 Label,Option 0 selections,Option 1 Label,Option 1 selections,Option 2 Label,Option 2 selections,Option 3 Label,Option 3 selections,Option 4 Label,Option 4 selections,Option 5 Label,Option 5 selections,Option 6 Label,Option 6 selections,Option 7 Label,Option 7 selections,Option 8 Label,Option 8 selections,Option 9 Label,Option 9 selections,Course,Term
Respect,228,The instructor related to students in way that promoted mutual respect.,4.5,0.5270462766947299,Strongly Disagree,0.0,Disagree,0.0,Neutral,0.0,Agree,5.0,Strongly Agree,5.0,,,,,,,,,,,MATH 104,Winter 2020
Explanations,229,The instructor's explanations were clear and understandable.,4.0,1.0540925533894598,Strongly Disagree,0.0,Disagree,1.0,Neutral,2.0,Agree,3.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Helpfulness,230,The instructor was helpful to students seeking assistance.,4.636363636363637,0.5045249791095129,Strongly Disagree,0.0,Disagree,0.0,Neutral,0.0,Agree,4.0,Strongly Agree,7.0,,,,,,,,,,,MATH 104,Winter 2020
Instructor Overall,231,"Overall, I learned a great deal from the instructor.",4.2,0.7888106377466155,Strongly Disagree,0.0,Disagree,0.0,Neutral,2.0,Agree,4.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Organization,216,Course materials were presented in an organised manner.,4.363636363636363,0.504524979109513,Strongly Disagree,0.0,Disagree,0.0,Neutral,0.0,Agree,7.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Clear Expectations,217,Expectations for learning were clearly communicated.,4.363636363636363,0.6741998624632421,Strongly Disagree,0.0,Disagree,0.0,Neutral,1.0,Agree,5.0,Strongly Agree,5.0,,,,,,,,,,,MATH 104,Winter 2020
Content Usefulness,218,"The assignments, activities, and content helped me achieve the stated learning objectives.",4.2727272727272725,0.6466697906828633,Strongly Disagree,0.0,Disagree,0.0,Neutral,1.0,Agree,6.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Assignment Value,219,The assignments contributed to my learning.,4.363636363636363,0.6741998624632421,Strongly Disagree,0.0,Disagree,0.0,Neutral,1.0,Agree,5.0,Strongly Agree,5.0,,,,,,,,,,,MATH 104,Winter 2020
Feedback,220,Feedback on course assignments contributed to my learning.,4.0,1.0,Strongly Disagree,0.0,Disagree,1.0,Neutral,2.0,Agree,4.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Use of Technology,221,Technology was used effectively for learning in the course.,4.363636363636363,0.8090398349558904,Strongly Disagree,0.0,Disagree,0.0,Neutral,2.0,Agree,3.0,Strongly Agree,6.0,,,,,,,,,,,MATH 104,Winter 2020
Learning Climate,222,The general climate in the course was good for learning.,4.0,1.0,Strongly Disagree,0.0,Disagree,1.0,Neutral,2.0,Agree,4.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Course Overall,223,"Overall, I learned a great deal from this course.",4.2727272727272725,0.6466697906828633,Strongly Disagree,0.0,Disagree,0.0,Neutral,1.0,Agree,6.0,Strongly Agree,4.0,,,,,,,,,,,MATH 104,Winter 2020
Expected Grade,224,What grade do you expect in this course?,85.9090909090909,5.393598899705937,Below 50,0.0,50-60,0.0,60-70,0.0,70-80,1.0,80-90,8.0,Above 90,2.0,,,,,,,,,MATH 104,Winter 2020
Required or Elective,225,"Is this course required, or an elective?",0.45454545454545453,0.5222329678670934,Required,5.0,Elective,6.0,,,,,,,,,,,,,,,,,MATH 104,Winter 2020
Workload,226,"On average, I spent X hours per week working on this course:",7.454545454545454,4.3672333659569045,Much less than 10 hours,2.0,Less than 10 hours,3.0,Around 10 hours,5.0,More than 10 hours,1.0,Much more than 10 hours,0.0,,,,,,,,,,,MATH 104,Winter 2020
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 104,Winter 2020
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 104,Winter 2020
Course Score,Overall Course Score,4.2727272727272725,@avg(223),,,,,,,,,,,,,,,,,,,,,,MATH 104,Winter 2020
Prof Score,Overall instructor score,4.2,@avg(231),,,,,,,,,,,,,,,,,,,,,,MATH 104,Winter 2020
Organization,177,Evaluate the organization and coherence of the lectures:,4.2631578947368425,0.6533762964749498,Excellent,7.0,Good,10.0,Satisfactory,2.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 114,Winter 2019
Explanations,178,At what levels were the instructor's explanations aimed?:,4.555555555555555,0.6156987634551992,Too high,0.0,Somewhat too high,6.0,Just Right,11.0,Somewhat too low,1.0,Too low,0.0,No opinion,1.0,,,,,,,,,MATH 114,Winter 2019
Questions,179,Evaluate the instructor's treatment of students' questions:,4.0,0.8164965809277259,Excellent,5.0,Good,10.0,Satisfactory,3.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 114,Winter 2019
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.315789473684211,0.7492686492653552,Excellent,9.0,Good,7.0,Satisfactory,3.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 114,Winter 2019
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.2105263157894735,0.7873265148181359,Excellent,8.0,Good,7.0,Satisfactory,4.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 114,Winter 2019
Availability,182,Was the instructor available for help outside of class?:,4.2,0.6324555320336759,Available,3.0,Usually available,6.0,Sometimes available,1.0,Rarely available,0.0,Unavailable,0.0,Did not seek help,7.0,,,,,,,,,MATH 114,Winter 2019
Ability to hold Interest,184,Did you find the course interesting?,3.0,0.8164965809277259,Very interesting,2.0,Interesting,13.0,Not interesting,4.0,No opinion,0.0,,,,,,,,,,,,,MATH 114,Winter 2019
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,4.157894736842105,0.6882472016116855,Excellent,6.0,Good,10.0,Satisfactory,3.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 114,Winter 2019
Attendance,187,What proportion of lectures did you attend in this course?,82.89473684210526,20.837718836662265,90-100%,15.0,75-90%,3.0,50-75%,0.0,25-50%,0.0,<25%,1.0,,,,,,,,,,,MATH 114,Winter 2019
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",4.111111111111111,1.0226199851298272,Very helpful,10.0,Helpful,8.0,Not helpful,0.0,No work assigned,0.0,,,,,,,,,,,,,MATH 114,Winter 2019
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,3.2222222222222223,0.6666666666666669,Very helpful,1.0,Helpful,8.0,Not helpful,0.0,No printed notes,8.0,,,,,,,,,,,,,MATH 114,Winter 2019
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,3.933333333333333,1.2227992865708153,Very helpful,8.0,Helpful,5.0,Not helpful,2.0,No text required,1.0,,,,,,,,,,,,,MATH 114,Winter 2019
New Material,191,Did the course introduce an appropriate amount of new material?,4.722222222222222,0.460888598962477,Too much,0.0,Somewhat too much,5.0,Right amount,13.0,Somewhat too little,0.0,Too little,0.0,No opinion,1.0,,,,,,,,,MATH 114,Winter 2019
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.882352941176471,0.3321055820775359,Too much,0.0,Somewhat too much,2.0,Right amount,15.0,Somewhat too little,0.0,Too little,0.0,No opinion,1.0,,,,,,,,,MATH 114,Winter 2019
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",4.184210526315789,2.0963627649109933,0-2 hours,4.0,3-6 hours,13.0,7-10 hours,2.0,11-15 houts,0.0,> 15 hours,0.0,,,,,,,,,,,MATH 114,Winter 2019
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),4.085438596491228,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Effectiveness,Computed effectiveness score,3.9263157894736844,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Delivery,Computed delivery score,4.256374269005848,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Prep,Computed prep score,4.2327485380116965,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Attendance Percentage,Average response for attendance,82.89473684210526,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Hours/Week,Average time spent per week on work,4.184210526315789,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 114,Winter 2019
Q1,54,Rate your professor's presentation of lectures in terms of organization and clarity.,4.604591836734694,0.7312285501195872,(A) Organized,71.0,(B),25.0,(C),0.0,(D),2.0,(E) Disorganized,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q2,55,How would you rate the professor's response to questions?,4.4770408163265305,0.8404149799492145,(A) Clear,65.0,(B),27.0,(C),4.0,(D),2.0,(E) Vague,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q3,56,"Rate your professor's oral presentation in terms of audibility, articulation, and your ability to understand his/her English.",4.668367346938775,0.7302163129272404,(A) Excellent,77.0,(B),18.0,(C),1.0,(D),2.0,(E) Unacceptable,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q4,57,"Rate your professor's visual presentation. Consider organization, legibility and effective use of materials (blackboard, electronic media, etc.).",4.464285714285714,0.8608015923796258,(A) Excellent,65.0,(B),26.0,(C),5.0,(D),2.0,(E) Unacceptable,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q5,58,Describe the availability and approachability of your professor outside of class compared to other courses you've taken at university. (Do not answer if you did not seek help.).,4.264705882352941,0.941291353282662,(A) Volunteering assistance with pleasure,28.0,(B),17.0,(C),5.0,(D),1.0,(E) Discouraging out-of-class contact,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q6,59,"At what level were the professor's explanations usually directed, in relation to your general level of understanding? *Note that (C) is the best rating",4.072164948453608,1.2536191164684989,(A) Far too high,2.0,(B),30.0,(C),62.0,(D),3.0,(E) Far too low	,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q7,60,"Were students encouraged by the professor to think and reason logically and objectively on their own, about the subject matter? ",4.260204081632653,0.9967203741837856,(A) A great deal,56.0,(B),29.0,(C),10.0,(D),3.0,(E) Not at all,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q8,61,What was your impression of your professor's attitude towards teaching the course?,4.61734693877551,0.6813079462092394,(A) Obviously enthusiastic & responsible,72.0,(B),22.0,(C),4.0,(D),0.0,(E) Views teaching as an imposition,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q9,62,Describe your professor-class relationship?,4.548969072164948,0.8304422573445459,(A) Friendly & open,71.0,(B),18.0,(C),7.0,(D),1.0,(E) Mutual dislike,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q10,63,What is your overall appraisal of the quality of teaching in this course?,4.471649484536083,0.7402810282987851,(A) Very high,60.0,(B),34.0,(C),2.0,(D),1.0,(E) Very Low	,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q11,65,Rate the difficulty of the concepts covered by this course. *Note that (C) is the best rating,3.4278350515463916,1.3292378978855737,(A) Very Easy,0.0,(B),19.0,(C),39.0,(D),33.0,(E) Very Difficult,6.0,,,,,,,,,,,MATH 115,Fall 2017
Q12,66,Rate the workload required to complete this course. *Note that (C) is the best rating,3.710526315789474,1.3330475150914904,(A) Very little,2.0,(B),12.0,(C),48.0,(D),31.0,(E) Very heavy,2.0,,,,,,,,,,,MATH 115,Fall 2017
Q13,67,How useful was the textbook (or reading materials) for understanding of the concepts?,3.4693877551020407,1.496673849234541,(A) Very useful,36.0,(B),26.0,(C),17.0,(D),16.0,(E) Totally useless,3.0,,,,,,,,,,,MATH 115,Fall 2017
Q14,68,To what extent did the assignments contribute to your better understanding of the concepts.,3.9973958333333335,1.0671499128067752,(A) Very useful,43.0,(B),32.0,(C),18.0,(D),3.0,(E) Totally useless,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q15,69,How well did the tests reflect the course material?,4.0688775510204085,1.1253754311963329,(A) Very closely,49.0,(B),30.0,(C),15.0,(D),3.0,(E) Not at all,1.0,,,,,,,,,,,MATH 115,Fall 2017
Q16,70,How valuable do you feel tutorials are (or would be) in the instruction of this course?,3.949468085106383,1.2473519193870042,(A) Very valuable,44.0,(B),30.0,(C),13.0,(D),5.0,(E) Not valuable at all,2.0,,,,,,,,,,,MATH 115,Fall 2017
Q17,71,What is your overall appraisal of this course?,4.260204081632653,0.8193207893489932,(A) Excellent,48.0,(B),43.0,(C),6.0,(D),1.0,(E) Poor,0.0,,,,,,,,,,,MATH 115,Fall 2017
Q18,72,How many classes did you attend?,4.591836734693878,0.7351517788988161,(A) All classes attended,72.0,(B),20.0,(C),6.0,(D),0.0,(E) No classes attended,0.0,,,,,,,,,,,MATH 115,Fall 2017
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 115,Fall 2017
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 115,Fall 2017
Q1,54,Rate your professor's presentation of lectures in terms of organization and clarity.,4.2450495049504955,1.0167227977795874,(A) Organized,57.0,(B),30.0,(C),12.0,(D),1.0,(E) Disorganized,1.0,,,,,,,,,,,MATH 115,Fall 2018
Q2,55,How would you rate the professor's response to questions?,4.26980198019802,0.8152324578891844,(A) Clear,50.0,(B),44.0,(C),6.0,(D),1.0,(E) Vague,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q3,56,"Rate your professor's oral presentation in terms of audibility, articulation, and your ability to understand his/her English.",4.492574257425742,0.7741571590644197,(A) Excellent,67.0,(B),27.0,(C),7.0,(D),0.0,(E) Unacceptable,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q4,57,"Rate your professor's visual presentation. Consider organization, legibility and effective use of materials (blackboard, electronic media, etc.).",4.430693069306931,0.8574080212194691,(A) Excellent,64.0,(B),30.0,(C),5.0,(D),2.0,(E) Unacceptable,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q5,58,Describe the availability and approachability of your professor outside of class compared to other courses you've taken at university. (Do not answer if you did not seek help.).,4.115384615384615,0.9302605094190634,(A) Volunteering assistance with pleasure,29.0,(B),27.0,(C),8.0,(D),1.0,(E) Discouraging out-of-class contact,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q6,59,"At what level were the professor's explanations usually directed, in relation to your general level of understanding? *Note that (C) is the best rating",3.4625,1.3859754796903998,(A) Far too high,9.0,(B),41.0,(C),43.0,(D),7.0,(E) Far too low	,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q7,60,"Were students encouraged by the professor to think and reason logically and objectively on their own, about the subject matter? ",3.8875,1.0791732479031806,(A) A great deal,39.0,(B),37.0,(C),20.0,(D),4.0,(E) Not at all,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q8,61,What was your impression of your professor's attitude towards teaching the course?,4.22029702970297,0.8450496499561949,(A) Obviously enthusiastic & responsible,48.0,(B),44.0,(C),8.0,(D),1.0,(E) Views teaching as an imposition,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q9,62,Describe your professor-class relationship?,4.35,0.7841549527351018,(A) Friendly & open,55.0,(B),38.0,(C),7.0,(D),0.0,(E) Mutual dislike,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q10,63,What is your overall appraisal of the quality of teaching in this course?,3.8613861386138613,0.9535953331502524,(A) Very high,32.0,(B),48.0,(C),19.0,(D),2.0,(E) Very Low	,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q11,65,Rate the difficulty of the concepts covered by this course. *Note that (C) is the best rating,2.4875,1.1983653639247709,(A) Very Easy,0.0,(B),3.0,(C),15.0,(D),51.0,(E) Very Difficult,31.0,,,,,,,,,,,MATH 115,Fall 2018
Q12,66,Rate the workload required to complete this course. *Note that (C) is the best rating,2.9455445544554455,1.4316092171032744,(A) Very little,0.0,(B),2.0,(C),30.0,(D),45.0,(E) Very heavy,24.0,,,,,,,,,,,MATH 115,Fall 2018
Q13,67,How useful was the textbook (or reading materials) for understanding of the concepts?,2.197802197802198,1.4594122121196624,(A) Very useful,5.0,(B),23.0,(C),23.0,(D),25.0,(E) Totally useless,15.0,,,,,,,,,,,MATH 115,Fall 2018
Q14,68,To what extent did the assignments contribute to your better understanding of the concepts.,4.381188118811881,0.877207258438635,(A) Very useful,61.0,(B),32.0,(C),6.0,(D),2.0,(E) Totally useless,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q15,69,How well did the tests reflect the course material?,4.084158415841584,0.9982968169104148,(A) Very closely,46.0,(B),39.0,(C),13.0,(D),3.0,(E) Not at all,0.0,,,,,,,,,,,MATH 115,Fall 2018
Q16,70,How valuable do you feel tutorials are (or would be) in the instruction of this course?,2.5866336633663365,1.6513008673332206,(A) Very valuable,19.0,(B),19.0,(C),28.0,(D),20.0,(E) Not valuable at all,15.0,,,,,,,,,,,MATH 115,Fall 2018
Q17,71,What is your overall appraisal of this course?,3.6881188118811883,1.0364639046983617,(A) Excellent,24.0,(B),54.0,(C),19.0,(D),2.0,(E) Poor,2.0,,,,,,,,,,,MATH 115,Fall 2018
Q18,72,How many classes did you attend?,4.876237623762377,0.4842826684595445,(A) All classes attended,93.0,(B),7.0,(C),0.0,(D),1.0,(E) No classes attended,0.0,,,,,,,,,,,MATH 115,Fall 2018
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 115,Fall 2018
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 115,Fall 2018
Organization,177,Evaluate the organization and coherence of the lectures:,4.5,0.7223151185146152,Excellent,15.0,Good,6.0,Satisfactory,3.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Explanations,178,At what levels were the instructor's explanations aimed?:,4.0,1.1420804814403216,Too high,5.0,Somewhat too high,9.0,Just Right,10.0,Somewhat too low,0.0,Too low,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Questions,179,Evaluate the instructor's treatment of students' questions:,4.541666666666667,0.6580053301400786,Excellent,15.0,Good,7.0,Satisfactory,2.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.041666666666667,0.8064504441319252,Excellent,7.0,Good,12.0,Satisfactory,4.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.333333333333333,0.8681147322824311,Excellent,13.0,Good,7.0,Satisfactory,3.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Availability,182,Was the instructor available for help outside of class?:,4.2,0.7677718959499145,Available,7.0,Usually available,11.0,Sometimes available,1.0,Rarely available,1.0,Unavailable,0.0,Did not seek help,3.0,,,,,,,,,MATH 135,Winter 2016
Ability to hold Interest,184,Did you find the course interesting?,3.4583333333333335,1.178767472245136,Very interesting,8.0,Interesting,11.0,Not interesting,5.0,No opinion,0.0,,,,,,,,,,,,,MATH 135,Winter 2016
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,4.375,0.8242255917447338,Excellent,13.0,Good,8.0,Satisfactory,2.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Attendance,187,What proportion of lectures did you attend in this course?,83.95833333333333,9.99773525079193,90-100%,16.0,75-90%,7.0,50-75%,1.0,25-50%,0.0,<25%,0.0,,,,,,,,,,,MATH 135,Winter 2016
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",4.041666666666667,1.0826363421183325,Very helpful,13.0,Helpful,10.0,Not helpful,1.0,No work assigned,0.0,,,,,,,,,,,,,MATH 135,Winter 2016
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,3.736842105263158,1.147078669352809,Very helpful,8.0,Helpful,9.0,Not helpful,2.0,No printed notes,3.0,,,,,,,,,,,,,MATH 135,Winter 2016
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,4.086956521739131,1.2027636160965025,Very helpful,14.0,Helpful,6.0,Not helpful,3.0,No text required,1.0,,,,,,,,,,,,,MATH 135,Winter 2016
New Material,191,Did the course introduce an appropriate amount of new material?,4.25,0.9890707100936804,Too much,3.0,Somewhat too much,9.0,Right amount,12.0,Somewhat too little,0.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.208333333333333,1.1412870944175515,Too much,4.0,Somewhat too much,5.0,Right amount,14.0,Somewhat too little,1.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 135,Winter 2016
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",7.458333333333333,4.190871722816323,0-2 hours,2.0,3-6 hours,10.0,7-10 hours,6.0,11-15 houts,5.0,> 15 hours,1.0,,,,,,,,,,,MATH 135,Winter 2016
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 135,Winter 2016
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 135,Winter 2016
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),4.25375,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 135,Winter 2016
Effectiveness,Computed effectiveness score,4.191666666666666,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 135,Winter 2016
